,0
0,ACÁCIO FAVACHO
1,ADRIANA VENTURA
2,AFONSO FLORENCE
3,AFONSO MOTTA
4,AGUINALDO RIBEIRO
5,AIRTON FALEIRO
6,ALCEU MOREIRA
7,ALESSANDRO MOLON
8,ALEX MANENTE
9,ALEXANDRE FROTA
10,ALEXANDRE LEITE
11,ALEXANDRE PADILHA
12,ALEXANDRE SERFIOTIS
13,ALEXIS
14,ALEXIS FONTEYNE
15,ALICE PORTUGAL
16,ALIEL MACHADO
17,ALINE GURGEL
18,ALTINEU CORTES
19,ALTINEU CÔRTES
20,ALÊ SILVA
21,ANDRE JANONES
22,ANDRÉ FIGUEIREDO
23,ANDRÉ JANONES
24,ANGELA AMIN
25,ARLINDO CHINAGLIA
26,ARNALDO JARDIM
27,AROLDO MARTINS
28,ARTHUR LIRA
29,ARTHUR MAIA
30,ARTHUR OLIVEIRA MAIA
31,ASSIS CARVALHO
32,AUGUSTO COUTINHO
33,AUREA CAROLINA
34,BACELAR
35,BALEIA ROSSI
36,BENEDITA DA SILVA
37,BETO FARO
38,BETO PEREIRA
39,BETO ROSADO
40,BIA KICIS
41,BIBO NUNES
42,BILAC PINTO
43,BIRA DO PINDARÉ
44,BOCA ABERTA
45,BOHN GASS
46,BOSCO COSTA
47,BOSCO SARAIVA
48,BRUNA FURLAN
49,CABO JUNIO AMARAL
50,CACÁ LEÃO
51,CAMILO CAPIBERIBE
52,CAPITÃO ALBERTO NETO
53,CAPITÃO AUGUSTO
54,CAPITÃO FÁBIO ABREU
55,CAPITÃO WAGNER
56,CARLA ZAMBELLI
57,CARLOS BEZERRA
58,CARLOS CHIODINI
59,CARLOS GOMES
60,CARLOS JORDY
61,CARLOS SAMPAIO
62,CARLOS VERAS
63,CARLOS ZARATTINI
64,CAROLINE DE TONI
65,CELINA LEÃO
66,CELIO MOURA
67,CELIO STUDART
68,CELSO SABINO
69,CHARLES FERNANDES
70,CHARLLES EVANGELISTA
71,CHICO D ANGELO
72,CHICO DANGELO
73,CHRISTINO AUREO
74,CLARISSA GAROTINHO
75,CORONEL TADEU
76,CÁSSIO ANDRADE
77,CÉLIO MOURA
78,CÉLIO STUDART
79,DAGOBERTO
80,DANIEL ALMEIDA
81,DANIEL COELHO
82,DANIEL SILVEIRA
83,DANIEL TRZECIAK
84,DANIELA DO WAGUINHO
85,DANILO CABRAL
86,DARCI DE MATOS
87,DARCÍSIO PERONDI
88,DAVID MIRANDA
89,DAVID SOARES
90,DELEGADO ANTÔNIO FURTADO
91,DELEGADO MARCELO FREITAS
92,DELEGADO PABLO
93,DELEGADO ÉDER MAURO
94,DENIS BEZERRA
95,DIEGO GARCIA
96,DOMINGOS NETO
97,DOMINGOS SÁVIO
98,DR. FREDERICO
99,DR. LEONARDO
100,DR. LUIZ ANTONIO TEIXEIRA JR.
101,DR. LUIZINHO
102,DRA. SORAYA MANATO
103,EDIO LOPES
104,EDMILSON RODRIGUES
105,EDUARDO BARBOSA
106,EDUARDO BISMARCK
107,EDUARDO BOLSONARO
108,EDUARDO COSTA
109,EDUARDO CURY
110,EFRAIM FILHO
111,ELCIONE BARBALHO
112,ELIAS VAZ
113,ELMAR
114,EMANUEL PINHEIRO NETO
115,ENIO VERRI
116,ERIKA KOKAY
117,EROS BIONDINI
118,EVAIR VIEIRA DE MELO
119,EVANDRO ROMAN
120,EXPEDITO NETTO
121,FABIO REIS
122,FABIO TRAD
123,FELIPE CARRERAS
124,FELIPE FRANCISCHINI
125,FELIPE RIGONI
126,FELIX MENDONÇA
127,FERNANDA MELCHIONNA
128,FERNANDO MONTEIRO
129,FILIPE BARROS
130,FLORDELIS
131,FRANCISCO JR
132,FRANCISCO JR.
133,FRANCO CARTAFINA
134,FRED COSTA
135,FREI ANASTÁCIO
136,FÁBIO FARIA
137,FÁBIO HENRIQUE
138,FÁBIO MITIDIERI
139,FÁBIO TRAD
140,FÉLIX MENDONÇA JÚNIOR
141,GENERAL GIRAO
142,GENERAL GIRÃO
143,GENERAL PETERNELLI
144,GENINHO ZULIANI
145,GEOVANIA DE SÁ
146,GERVÁSIO MAIA
147,GIL CUTRIM
148,GILSON MARQUES
149,GIOVANI CHERINI
150,GIOVANI FELTES
151,GLAUBER BRAGA
152,GLAUSTIN DA FOKUS
153,GLAUSTIN FOKUS
154,GLEISI HOFFMANN
155,GUIGA PEIXOTO
156,GURGEL
157,GUSTAVO FRUET
158,GUSTINHO RIBEIRO
159,GUTEMBERG REIS
160,HEITOR FREIRE
161,HEITOR SCHUCH
162,HELDER SALOMÃO
163,HELIO LOPES
164,HENRIQUE FONTANA
165,HERCULANO PASSOS
166,HERCÍLIO COELHO DINIZ
167,HILDO ROCHA
168,HIRAN GONÇALVES
169,HUGO LEAL
170,HUGO MOTTA
171,IDILVAN
172,IGOR TIMO
173,IRACEMA PORTELLA
174,ISNALDO BULHÕES
175,ISNALDO BULHÕES JR.
176,IVAN VALENTE
177,JANDIRA FEGHALI
178,JAQUELINE CASSOL
179,JEFFERSON CAMPOS
180,JERÔNIMO GOERGEN
181,JESUS SÉRGIO
182,JHC
183,JHONATAN DE JESUS
184,JOAQUIM PASSARINHO
185,JOENIA WAPICHANA
186,JOICE HASSELMANN
187,JORGE BRAZ
188,JORGE SOLLA
189,JOSE AIRTON
190,JOSE MEDEIROS
191,JOSE ROCHA
192,JOSIAS GOMES
193,JOSIMAR MARANHÃOZINHO
194,JOSÉ GUIMARÃES
195,JOSÉ MEDEIROS
196,JOSÉ NELTO
197,JOSÉ PRIANTE
198,JOSÉ RICARDO
199,JOÃO CAMPOS
200,JOÃO ROMA
201,JULIAN LEMOS
202,JULIO CESAR RIBEIRO
203,JULIO DELGADO
204,JUSCELINO FILHO
205,JÚLIO CESAR
206,JÚLIO DELGADO
207,JÚNIOR BOZZELLA
208,JÚNIOR MANO
209,KIM KATAGUIRI
210,LAERCIO OLIVEIRA
211,LAFAYETTE DE ANDRADA
212,LAURIETE
213,LEDA SADALA
214,LEONARDO MONTEIRO
215,LEONIDAS CRISTINO
216,LEUR LOMANTO JÚNIOR
217,LEÔNIDAS CRISTINO
218,LINCOLN PORTELA
219,LIZIANE BAYER
220,LOESTER TRUTIS
221,LOURIVAL GOMES
222,LUCAS GONZALEZ
223,LUCAS REDECKER
224,LUCIANO DUCCI
225,LUISA CANZIANI
226,LUIZ ANTÔNIO
227,LUIZ FLÁVIO GOMES
228,LUIZ LIMA
229,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA
230,LUIZA ERUNDINA
231,LUIZIANNE LINS
232,LUIZÃO GOULART
233,LÉO MOTTA
234,LÍDICE DA MATA
235,MAJOR VITOR HUGO
236,MARA ROCHA
237,MARCEL VAN HATTEM
238,MARCELO ARO
239,MARCELO CALERO
240,MARCELO FREIXO
241,MARCELO NILO
242,MARCELO RAMOS
243,MARCIO MARINHO
244,MARCO BERTAIOLLI
245,MARCON
246,MARCOS PEREIRA
247,MARGARETE COELHO
248,MARGARIDA SALOMÃO
249,MARIA DO ROSÁRIO
250,MARIANA CARVALHO
251,MARRECA FILHO
252,MARX BELTRÃO
253,MARÍLIA ARRAES
254,MAURO NAZIF
255,MAURÍCIO DZIEDRICKI
256,MOSES RODRIGUES
257,MÁRCIO BIOLCHI
258,MÁRCIO JERRY
259,MÁRCIO LABRE
260,MÁRCIO MARINHO
261,MÁRIO HERINGER
262,NATALIA BONAVIDES
263,NATÁLIA BONAVIDES
264,NELSON PELLEGRINO
265,NEREU CRISPIM
266,NEWTON CARDOSO JR
267,NICOLETTI
268,NILSON PINTO
269,NILTO TATTO
270,ODAIR CUNHA
271,ONYX LORENZONI
272,ORLANDO SILVA
273,OSSESIO SILVA
274,OTONI DE PAULA
275,PADRE JOÃO
276,PASTOR GILDENEMYR
277,PATRUS ANANIAS
278,PAULA BELMONTE
279,PAULINHO DA FORÇA
280,PAULO ABI ACKEL
281,PAULO ABI-ACKEL
282,PAULO BENGTSON
283,PAULO EDUARDO MARTINS
284,PAULO GANIME
285,PAULO GUEDES
286,PAULO MARTINS
287,PAULO PEREIRA DA SILVA
288,PAULO PIMENTA
289,PAULO TEIXEIRA
290,PAULÃO
291,PEDRO BEZERRA
292,PEDRO CUNHA LIMA
293,PEDRO LUCAS FERNANDES
294,PEDRO LUPION
295,PEDRO PAULO
296,PEDRO UCZAI
297,PEDRO WESTPHALEN
298,PELEGRINO
299,PERPETUA ALMEIDA
300,PERPÉTUA ALMEIDA
301,POLICIAL KATIA SASTRE
302,POMPEO DE MATTOS
303,PR. MARCO FELICIANO
304,PRIANTE
305,PROFESSOR ISRAEL
306,PROFESSOR JOZIEL
307,PROFESSOR LUIZ FLAVIO GOMES
308,PROFESSOR LUIZÃO GOULART
309,PROFESSOR PEDRO UCZAI
310,PROFESSORA DAYANE PIMENTEL
311,PROFESSORA MARCIVANIA
312,PROFESSORA ROSA NEIDE
313,RAFAEL MOTTA
314,RAIMUNDO COSTA
315,REGINALDO LOPES
316,REINHOLD STEPHANES JUNIOR
317,REJANE DIAS
318,RENATA ABREU
319,RENILDO CALHEIROS
320,RICARDO BARROS
321,RICARDO IZAR
322,ROBERTO ALVES
323,ROBERTO DE LUCENA
324,RODRIGO AGOSTINHO
325,RODRIGO COELHO
326,RODRIGO DE CASTRO
327,RODRIGO MAIA
328,ROGÉRIO CORREIA
329,ROGÉRIO PENINHA MENDONÇA
330,ROSANA VALLE
331,RUBENS BUENO
332,RUBENS OTONI
333,RUBENS PEREIRA JÚNIOR
334,RUI FALCÃO
335,RUY CARNEIRO
336,SAMUEL MOREIRA
337,SANDERSON FEDERAL
338,SANTINI
339,SARGENTO FAHUR
340,SCHIAVINATO
341,SHÉRIDAN
342,SIDNEY LEITE
343,SILVIO COSTA FILHO
344,STEFANO AGUIAR
345,SUBTENENTE GONZAGA
346,SÂMIA BOMFIM
347,SÓSTENES
348,SÓSTENES CAVALCANTE
349,TABATA AMARAL
350,TALÍRIA PETRONE
351,TEREZA CRISTINA
352,TEREZA NELMA
353,TIAGO DIMAS
354,TIAGO MITRAUD
355,TIO TRUTIS
356,TONINHO WANDSCHEER
357,TÚLIO GADÊLHA
358,UBIRATAN SANDERSON
359,VALDEVAN NOVENTA
360,VALMIR ASSUNÇÃO
361,VANDER LOUBET
362,VANDERLEI MACRIS
363,VICENTINHO
364,VICENTINHO JÚNIOR
365,VILSON DA FETAEMG
366,VINICIUS POIT
367,WALDENOR PEREIRA
368,WALTER ALVES
369,WELITON PRADO
370,WILSON SANTIAGO
371,WLADIMIR GAROTINHO
372,WOLNEY QUEIROZ
373,ZECA DIRCEU
374,ZÉ CARLOS
375,ZÉ MARIO
376,ZÉ NETO
377,ZÉ SILVA
378,ZÉ VITOR
379,ÁTILA LIRA
380,ÁUREA CAROLINA
