,Unnamed: 0,id_tweet,isFavorable,id_politico,text,time,nome_principal,twitter,classe politica,nome_partido,estado,regiao,Id_politico,nome_semacento
0,0,34,1,5,"Estive hoje com um dos maiores especialistas em Reforma da Previdência: o cientista político e pesquisador do IPEA Paulo Tafner. Suas palavras sempre duras: “Sem a Reforma, o Estado… https://t.co/J3gZgrkJyR",2019-01-30 00:31:08,ADRIANA VENTURA,adrianasounovo,deputado federal,NOVO,SÃO PAULO,SUDESTE,1,ADRIANA VENTURA
1,1,42,-1,8,Reforma de Bolsonaro massacra mulheres! #contraareformadaprevidencia #reajaousuaprevidênciaacaba https://t.co/lvy3Fa2d8T,2019-02-27 13:49:51,AFONSO FLORENCE,AfonsoFlorence,deputado federal,PT,BAHIA,NORDESTE,2,AFONSO FLORENCE
2,2,43,-1,8,Ministro da educação não tem condição de continuar! Orientar escolas a fazer propaganda eleitoral de Bolsonaro? Dizer que universidade é para elite? Defender reforma da previdência que aumenta em 10 anos a idade de aposentaria de professoras e em 5 a de professores. Fora Vélez!,2019-02-26 15:33:26,AFONSO FLORENCE,AfonsoFlorence,deputado federal,PT,BAHIA,NORDESTE,2,AFONSO FLORENCE
3,3,46,-1,8,O governo Bolsonaro não tem mais condição política de aprovar retirada de direitos dos trabalhadores brasileiros. Vamos barrar a Reforma da Previdência! #ReajaOuSuaPrevidênciaAcaba https://t.co/kzHcUdZFux,2019-02-20 17:39:41,AFONSO FLORENCE,AfonsoFlorence,deputado federal,PT,BAHIA,NORDESTE,2,AFONSO FLORENCE
4,4,47,-1,8,Reforma da Previdência de Bolsonaro é muito pior do que a de Temer https://t.co/Eu6u0FkfLd #ReajaOuSuaPrevidênciaAcaba,2019-02-20 14:40:52,AFONSO FLORENCE,AfonsoFlorence,deputado federal,PT,BAHIA,NORDESTE,2,AFONSO FLORENCE
5,5,68,-1,8,"Dever cumprido: construímos bloco dos partidos de oposição (PT, PSB, PSOL e REDE). Apoiamos candidato que, comparada sua fala com a dos outros, foi o única de oposição a Bolsonaro. Comprometida com os direitos sociais, trabalhistas e previdenciários. Convicção de que acertamos!",2019-02-02 00:36:31,AFONSO FLORENCE,AfonsoFlorence,deputado federal,PT,BAHIA,NORDESTE,2,AFONSO FLORENCE
6,6,117,-1,12,"Na tarde de sábado, recebi em Santarém lideranças da etnia Wai Wai, de Oriximiná. O grupo levou demandas de políticas públicas para as aldeias. Abordamos assuntos como previdência, educação e saúde. Os Wai Wai pediram, ainda, atenção sobre o surto de malária na região onde moram. https://t.co/VbEVMEiwEo",2019-02-25 18:02:13,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
7,7,126,-1,12,"RT @PTnaCamara: SUSPENSÃO DA TRAMITAÇÃO DA REFORMA DA PREVIDÊNCIA

A reforma da previdência de Bolsonaro precisa ter a tramitação suspensa…",2019-02-21 22:49:15,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
8,8,127,-1,12,"Hoje estive na primeira reunião da Frente Parlamentar da Agricultura Familiar (FPAF). Nosso objetivo é promover ações em favor dos agricultores familiares do país, desde a defesa de direitos, como a Previdência Rural, até a busca de políticas de apoio e incentivo à produção.",2019-02-21 14:52:37,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
9,9,131,-1,12,Bolsonaro lança campanha mentirosa para conseguir apoio à reforma da Previdência https://t.co/ZS9MDKLyPn #ReajaOuSuaPrevidênciaAcaba,2019-02-20 18:15:41,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
