,Partido,Estado,NOME
0,DEM,Acre,ALAN RICK
1,SD,Acre,DRA. VANDA MILANI
2,MDB,Acre,FLAVIANO MELO
3,MDB,Acre,JESSICA SALES
4,PDT,Acre,JESUS SERGIO
5,PSDB,Acre,MARA ROCHA
6,PRB,Acre,PASTOR MANUEL MARCOS
7,PC do B,Acre,PERPETUA ALMEIDA
8,PP,Alagoas,ARTHUR LIRA
9,MDB,Alagoas,ISNALDO BULHOES
10,PSB,Alagoas,JHC
11,PSD,Alagoas,MARX BELTRAO
12,PTB,Alagoas,NIVALDO ALBUQUERQUE
13,PT,Alagoas,PAULAO
14,PR,Alagoas,SERGIO TOLEDO
15,PRB,Alagoas,SEVERINO PESSOA
16,PSDB,Alagoas,TEREZA NELMA
17,PROS,Amapá,ACACIO FAVACHO
18,PRB,Amapá,ALINE GURGEL
19,PP,Amapá,ANDRE ABDON
20,PSB,Amapá,CAMILO CAPIBERIBE
21,AVANTE,Amapá,LEDA SADALA
22,PSDB,Amapá,LUIZ CARLOS
23,PC do B,Amapá,PROFESSORA MARCIVANIA
24,PR,Amapá,VINICIUS
25,PP,Amazonas,ATILA LINS
26,SD,Amazonas,BOSCO SARAIVA
27,PRB,Amazonas,CAPITAO ALBERTO NETO
28,PSL,Amazonas,DELEGADO PABLO
29,PT,Amazonas,JOSE RICARDO
30,PR,Amazonas,MARCELO RAMOS
31,PSD,Amazonas,SIDNEY LEITE
32,PRB,Amazonas,SILAS CAMARA
33,PSDB,Bahia,ADOLFO VIANA
34,PT,Bahia,AFONSO FLORENCE
35,PDT,Bahia,ALEX SANTANA
36,PC do B,Bahia,ALICE PORTUGAL
37,PSD,Bahia,ANTONIO BRITO
38,DEM,Bahia,ARTHUR MAIA
39,PODE,Bahia,BACELAR
40,PP,Bahia,CACA LEAO
41,PSD,Bahia,CHARLES FERNANDES
42,PP,Bahia,CLAUDIO CAJADO
43,PC do B,Bahia,DANIEL ALMEIDA
44,DEM,Bahia,ELMAR
45,PDT,Bahia,FELIX MENDONCA
46,PHS,Bahia,IGOR KANNARIO
47,PR,Bahia,JOAO BACELAR
48,PRB,Bahia,JOAO ROMA
49,PT,Bahia,JORGE SOLLA
50,PSD,Bahia,JOSE NUNES
51,PR,Bahia,JOSE ROCHA
52,PT,Bahia,JOSIAS GOMES
53,DEM,Bahia,LEUR LOMANTO JR
54,PSB,Bahia,LIDICE DA MATA
55,PSB,Bahia,MARCELO NILO
56,PRB,Bahia,MARCIO MARINHO
57,PP,Bahia,MARIO NEGROMONTE JR
58,PSD,Bahia,OTTO ALENCAR FILHO
59,PHS,Bahia,PASTOR ABILIO SANTANA
60,AVANTE,Bahia,PASTOR SARGENTO ISIDORIO
61,DEM,Bahia,PAULO AZI
62,PT,Bahia,PELEGRINO
63,PSL,Bahia,PROF. DAYANE PIMENTEL
64,PRP,Bahia,RAIMUNDO COSTA
65,PP,Bahia,RONALDO CARLETTO
66,PSD,Bahia,SERGIO BRITO
67,AVANTE,Bahia,TITO
68,PPL,Bahia,ULDURICO JUNIOR
69,PT,Bahia,VALMIR ASSUNCAO
70,PT,Bahia,WALDENOR PEREIRA
71,PT,Bahia,ZE NETO
72,PP,Ceará,AJ ALBUQUERQUE
73,PDT,Ceará,ANDRE FIGUEIREDO
74,PROS,Ceará,CAPITAO WAGNER
75,PV,Ceará,CELIO STUDART
76,PSB,Ceará,DENIS BEZERRA
77,PSD,Ceará,DOMINGOS NETO
78,PR,Ceará,DR. JAZIEL
79,PDT,Ceará,EDUARDO BISMARCK
80,SD,Ceará,GENECIAS NORONHA
81,PT,Ceará,GUIMARAES
82,PSL,Ceará,HEITOR FREIRE
83,PDT,Ceará,IDILVAN
84,PT,Ceará,JOSE AIRTON
85,PATRI,Ceará,JUNIOR MANO
86,PDT,Ceará,LEONIDAS CRISTINO
87,PT,Ceará,LUIZIANNE
88,PDT,Ceará,MAURO FILHO
89,MDB,Ceará,MOSES RODRIGUES
90,PTB,Ceará,PEDRO BEZERRA
91,PDT,Ceará,ROBERIO MONTEIRO
92,PSDB,Ceará,ROBERTO PESSOA
93,PROS,Ceará,VAIDON OLIVEIRA
94,PRP,Distrito federal,BIA KICIS
95,PP,Distrito federal,CELINA LEAO
96,PT,Distrito federal,ERIKA KOKAY
97,PR,Distrito federal,FLAVIA ARRUDA
98,PRB,Distrito federal,JULIO CESAR
99,DEM,Distrito federal,LUIS MIRANDA
100,PPS,Distrito federal,PAULA BELMONTE
101,PV,Distrito federal,PROFESSOR ISRAEL
102,PRB,Espírito santo,AMARO NETO
103,PPS,Espírito santo,DA VITORIA
104,PSL,Espírito santo,DRA. SORAYA MANATO
105,PP,Espírito santo,EVAIR DE MELO
106,PSB,Espírito santo,FELIPE RIGONI
107,PSB,Espírito santo,FOLETTO
108,PT,Espírito santo,HELDER SALOMAO
109,PR,Espírito santo,LAURIETE
110,DEM,Espírito santo,NORMA AYUB
111,PDT,Espírito santo,SERGIO VIDIGAL
112,PP,Goiás,ADRIANO DO BALDY
113,PRP,Goiás,ALCIDES RODRIGUES
114,PSDB,Goiás,CELIO SILVEIRA
115,PSL,Goiás,DELEGADO WALDIR
116,DEM,Goiás,DR. ZACARIAS CALIL
117,PSB,Goiás,ELIAS VAZ
118,PDT,Goiás,FLAVIA MORAIS
119,PSD,Goiás,FRANCISCO JR
120,PSC,Goiás,GLAUSTIN DA FOKUS
121,PRB,Goiás,JOAO CAMPOS
122,PODE,Goiás,JOSE NELTO
123,SD,Goiás,LUCAS VERGILIO
124,PR,Goiás,MAGDA MOFATTO
125,PSL,Goiás,MAJOR VITOR HUGO
126,PP,Goiás,PROFESSOR ALCIDES
127,PT,Goiás,RUBENS OTONI
128,DEM,Goiás,ZE MARIO
129,PODE,Maranhão,ALUISIO MENDES
130,PP,Maranhão,ANDRE FUFUCA
131,PSB,Maranhão,BIRA DO PINDARE
132,PRB,Maranhão,CLEBER VERDE
133,PSD,Maranhão,EDILAZIO
134,PMN,Maranhão,EDUARDO BRAIDE
135,PDT,Maranhão,GIL CUTRIM
136,MDB,Maranhão,HILDO ROCHA
137,MDB,Maranhão,JOAO MARCELO
138,PR,Maranhão,JOSIMAR MARANHAOZINHO
