,Nome,Partido,Estado,Id
0,Alan Rick,DEM,Acre,0
1,Dra. Vanda Milani,SD,Acre,1
2,Flaviano Melo,MDB,Acre,2
3,Jéssica Sales,MDB,Acre,3
4,Jesus Sérgio,PDT,Acre,4
5,Mara Rocha,PSDB,Acre,5
6,Pastor Manuel Marcos,PRB,Acre,6
7,Perpetua Almeida,PC do B,Acre,7
8,Arthur Lira,PP,Alagoas,8
9,Isnaldo Bulhões,MDB,Alagoas,9
10,JHC,PSB,Alagoas,10
11,Marx Beltrão,PSD,Alagoas,11
12,Nivaldo Albuquerque,PTB,Alagoas,12
13,Paulão,PT,Alagoas,13
14,Sérgio Toledo,PR,Alagoas,14
15,Severino Pessôa,PRB,Alagoas,15
16,Tereza Nelma,PSDB,Alagoas,16
17,Acácio Favacho,PROS,Amapá,17
18,Aline Gurgel,PRB,Amapá,18
19,Andre Abdon,PP,Amapá,19
20,Camilo Capiberibe,PSB,Amapá,20
21,Leda Sadala,AVANTE,Amapá,21
22,Luiz Carlos,PSDB,Amapá,22
23,Professora Marcivania,PC do B,Amapá,23
24,Vinícius,PR,Amapá,24
25,Atila Lins,PP,Amazonas,25
26,Bosco Saraiva,SD,Amazonas,26
27,Capitão Alberto Neto,PRB,Amazonas,27
28,Delegado Pablo,PSL,Amazonas,28
29,José Ricardo,PT,Amazonas,29
30,Marcelo Ramos,PR,Amazonas,30
31,Sidney Leite,PSD,Amazonas,31
32,Silas Câmara,PRB,Amazonas,32
33,Adolfo Viana,PSDB,Bahia,33
34,Afonso Florence,PT,Bahia,34
35,Alex Santana,PDT,Bahia,35
36,Alice Portugal,PC do B,Bahia,36
37,Antonio Brito,PSD,Bahia,37
38,Arthur Maia,DEM,Bahia,38
39,Bacelar,PODE,Bahia,39
40,Cacá Leão,PP,Bahia,40
41,Charles Fernandes,PSD,Bahia,41
42,Claudio Cajado,PP,Bahia,42
43,Daniel Almeida,PC do B,Bahia,43
44,Elmar,DEM,Bahia,44
45,Felix Mendonça,PDT,Bahia,45
46,Igor Kannario,PHS,Bahia,46
47,João Bacelar,PR,Bahia,47
48,João Roma,PRB,Bahia,48
49,Jorge Solla,PT,Bahia,49
50,José Nunes,PSD,Bahia,50
51,Jose Rocha,PR,Bahia,51
52,Josias Gomes,PT,Bahia,52
53,Leur Lomanto Jr,DEM,Bahia,53
54,Lídice da Mata,PSB,Bahia,54
55,Marcelo Nilo,PSB,Bahia,55
56,Marcio Marinho,PRB,Bahia,56
57,Mário Negromonte Jr,PP,Bahia,57
58,Otto Alencar Filho,PSD,Bahia,58
59,Pastor Abílio Santana,PHS,Bahia,59
60,Pastor Sargento Isidório,AVANTE,Bahia,60
61,Paulo Azi,DEM,Bahia,61
62,Pelegrino,PT,Bahia,62
63,Prof. Dayane Pimentel,PSL,Bahia,63
64,Raimundo Costa,PRP,Bahia,64
65,Ronaldo Carletto,PP,Bahia,65
66,Sérgio Brito,PSD,Bahia,66
67,Tito,AVANTE,Bahia,67
68,Uldúrico Júnior,PPL,Bahia,68
69,Valmir Assunção,PT,Bahia,69
70,Waldenor Pereira,PT,Bahia,70
71,Zé Neto,PT,Bahia,71
72,Aj Albuquerque,PP,Ceará,72
73,André Figueiredo,PDT,Ceará,73
74,Capitão Wagner,PROS,Ceará,74
75,Celio Studart,PV,Ceará,75
76,Denis Bezerra,PSB,Ceará,76
77,Domingos Neto,PSD,Ceará,77
78,Dr. Jaziel,PR,Ceará,78
79,Eduardo Bismarck,PDT,Ceará,79
80,Genecias Noronha,SD,Ceará,80
81,Guimarães,PT,Ceará,81
82,Heitor Freire,PSL,Ceará,82
83,Idilvan,PDT,Ceará,83
84,Jose Airton,PT,Ceará,84
85,Júnior Mano,PATRI,Ceará,85
86,Leonidas Cristino,PDT,Ceará,86
87,Luizianne,PT,Ceará,87
88,Mauro Filho,PDT,Ceará,88
89,Moses Rodrigues,MDB,Ceará,89
90,Pedro Bezerra,PTB,Ceará,90
91,Robério Monteiro,PDT,Ceará,91
92,Roberto Pessoa,PSDB,Ceará,92
93,Vaidon Oliveira,PROS,Ceará,93
94,Bia Kicis,PRP,Distrito federal,94
95,Celina Leão,PP,Distrito federal,95
96,Erika Kokay,PT,Distrito federal,96
97,Flavia Arruda,PR,Distrito federal,97
98,Julio Cesar,PRB,Distrito federal,98
99,Luis Miranda,DEM,Distrito federal,99
100,Paula Belmonte,PPS,Distrito federal,100
101,Professor Israel,PV,Distrito federal,101
102,Amaro Neto,PRB,Espírito santo,102
103,Da Vitória,PPS,Espírito santo,103
104,Dra. Soraya Manato,PSL,Espírito santo,104
105,Evair de Melo,PP,Espírito santo,105
106,Felipe Rigoni,PSB,Espírito santo,106
107,Foletto,PSB,Espírito santo,107
108,Helder Salomão,PT,Espírito santo,108
109,Lauriete,PR,Espírito santo,109
110,Norma Ayub,DEM,Espírito santo,110
111,Sergio Vidigal,PDT,Espírito santo,111
112,Adriano do Baldy,PP,Goiás,112
